IAA_Atual,IEG_Atual,IPS_Atual,IPP_Atual,IDA_Atual,Defasagem_Atual,IAA_A-1,IEG_A-1,IPS_A-1,IPP_A-1,IDA_A-1,Defasagem_A-1
9.0,6.5,7.5,8.8,2.3,0,8.5,8.2,6.27,5.0,4.7,-1.0
10.0,9.3,7.5,7.5,3.8,0,0.0,8.6,3.77,7.1875,5.2,-1.0
9.5,8.6,7.5,8.1,9.0,0,10.0,10.0,7.52,6.5625,5.0,-1.0
9.0,7.9,7.5,8.1,7.3,0,8.5,9.7,7.52,6.25,5.5,0.0
8.5,7.7,5.0,6.9,8.0,0,7.9,9.2,7.52,5.625,6.5,0.0
10.0,7.3,6.3,6.9,7.0,0,8.5,7.4,5.02,5.625,5.8,0.0
9.0,7.0,6.3,6.3,6.0,0,9.5,9.1,2.52,5.625,5.8,0.0
9.5,9.3,7.5,7.5,6.5,0,9.0,9.1,3.77,7.5,8.8,0.0
9.5,9.5,6.3,6.9,6.5,0,9.0,9.8,3.77,5.625,8.6,0.0
9.0,9.5,6.9,6.9,8.3,0,9.5,9.4,3.77,5.625,6.0,0.0
10.0,9.0,7.5,7.5,5.0,0,0.0,8.3,3.77,6.875,5.9,0.0
9.5,7.5,7.5,8.4,8.0,0,0.0,8.5,7.52,7.5,7.8,-1.0
9.0,8.2,6.3,7.5,6.5,0,10.0,9.1,3.14,6.875,7.7,-1.0
8.5,7.7,6.3,8.4,8.3,0,0.0,8.5,5.02,7.5,6.3,0.0
9.0,7.7,7.5,8.4,9.0,0,8.5,8.9,7.52,7.65625,7.5,0.0
9.5,9.3,6.3,7.8,8.8,1,7.5,9.1,5.02,6.875,4.3,1.0
9.5,9.1,6.3,7.8,8.5,0,0.0,9.8,2.52,6.875,8.2,-1.0
9.0,9.8,6.9,8.4,9.0,1,10.0,9.1,2.52,7.1875,6.1,0.0
9.5,9.3,7.5,8.4,8.0,0,8.0,9.2,3.77,7.1875,3.3,0.0
9.5,9.3,6.3,7.5,6.5,0,8.5,8.5,3.77,7.1875,4.7,0.0
6.3,7.7,6.3,6.6,6.5,0,8.5,8.3,3.77,5.78125,6.0,-1.0
8.5,9.3,4.4,5.3,7.3,1,9.0,9.5,3.76,4.375,6.9,-1.0
8.0,10.0,6.9,7.2,6.8,0,8.5,9.7,7.52,6.25,7.0,-2.0
6.4,10.0,7.5,7.5,7.5,0,9.0,9.8,3.77,8.125,9.4,-1.0
6.2,5.9,4.4,4.1,3.8,0,9.5,7.7,3.14,4.375,3.4,-2.0
10.0,9.1,5.6,8.1,8.3,1,10.0,9.8,3.77,7.5,9.5,0.0
9.0,6.1,4.4,7.2,6.8,0,0.0,9.5,2.52,5.0,8.1,-2.0
9.0,10.0,7.5,8.1,9.3,1,9.5,10.0,7.52,7.5,9.3,-1.0
8.0,10.0,7.5,8.4,10.0,0,0.0,10.0,6.27,9.21875,9.8,-1.0
9.0,9.3,8.1,8.1,8.5,1,9.0,9.8,9.38,8.125,7.8,0.0
10.0,9.8,7.5,7.8,5.0,1,10.0,9.6,5.02,7.5,7.8,0.0
9.0,7.3,5.6,5.6,6.0,0,8.4,7.5,2.52,5.625,6.6,-1.0
