RA,Fase_2024,INDE_2024,Pedra_2024,Turma_2024,Idade_2024,Genero_2024,Ano_Ingresso_2024,Instituicao_Ensino_2024,IAA_2024,IEG_2024,IPS_2024,IPP_2024,IDA_2024,Mat_2024,Por_2024,Ing_2024,IPV_2024,IAN_2024,Fase_Ideal_2024,Defasagem_2024,Escola_2024,Fase_2023,INDE_2023,Pedra_2023,Turma_2023,Idade_2023,Genero_2023,Ano_Ingresso_2023,Instituicao_Ensino_2023,IAA_2023,IEG_2023,IPS_2023,IPP_2023,IDA_2023,Mat_2023,Por_2023,Ing_2023,IPV_2023,IAN_2023,Fase_Ideal_2023,Defasagem_2023,Fase_2022,Turma_2022,Idade_2022,Genero_2022,Ano_Ingresso_2022,Instituicao_Ensino_2022,Pedra_2022,INDE_2022,Cg_2022,Cf_2022,Ct_2022,Rec_Av1_2022,Rec_Av2_2022,IAA_2022,IEG_2022,IPS_2022,Rec_Psicologia_2022,IDA_2022,Mat_2022,Por_2022,Ing_2022,Indicado_2022,Atingiu_PV_2022,IPV_2022,IAN_2022,Fase_Ideal_2022,Defasagem_2022,Destaque_IEG_2022,Destaque_IDA_2022,Destaque_IPV_2022,IPP_2022
1282,ALFA,7.876927273,Ametista,ALFA B - G2/G3,9,Feminino,2024,Pública,9.5,8.1,6.3,7.5,9.3,10.0,8.5,0.0,7.9,5.0,Fase 1 (3° e 4° ano),-1,EE Chácara Florida II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,ALFA,8.191290909,Topázio,ALFA B - G2/G3,9,Masculino,2023,Pública,8.5,9.3,6.3,7.5,9.8,10.0,9.5,0.0,8.3,5.0,Fase 1 (3° e 4° ano),-1,EM Maria Ignez Concelles Irma Ines,ALFA,8.8092,Topázio,ALFA C - G0/G1,8.0,Masculino,2023.0,Pública,8.5,9.5,6.89,7.5,9.1,8.7,9.5,0.0,9.0,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,ALFA,7.583018182,Ametista,ALFA B - G2/G3,9,Masculino,2023,Pública,9.0,7.4,7.5,7.5,8.5,10.0,7.0,0.0,7.5,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,ALFA,8.6992,Topázio,ALFA A - G0/G1,8.0,Masculino,2023.0,Pública,9.0,8.6,8.76,7.5,8.9,8.7,9.0,0.0,8.415,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,ALFA,8.303353846,Topázio,ALFA B - G2/G3,10,Masculino,2024,Pública,10.0,9.2,7.5,7.5,9.0,10.0,8.0,0.0,8.3,5.0,Fase 2 (5° e 6° ano),-2,EE Dom Pedro Villas Boas de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,ALFA,8.035957576,Topázio,ALFA B - G2/G3,10,Feminino,2023,Pública,10.0,9.0,6.3,7.5,8.8,10.0,7.5,0.0,8.0,5.0,Fase 1 (3° e 4° ano),-1,EE Chácara Florida II,ALFA,7.8882,Ametista,ALFA C - G0/G1,9.0,Feminino,2023.0,Pública,9.5,9.5,6.89,7.5,7.5,6.2,8.8,0.0,7.995,5.0,Fase 1 (3° e 4° ano),-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,ALFA,8.380015217,Topázio,ALFA C - G0/G1,8,Feminino,2024,Pública,9.0,9.3,2.5,7.8,10.0,10.0,10.0,0.0,7.9,10.0,ALFA (1° e 2° ano),0,EE Dom Pedro Villas Boas de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,ALFA,8.057128571,Topázio,ALFA C - G0/G1,9,Feminino,2023,Pública,9.5,9.5,2.5,8.1,9.8,10.0,9.5,0.0,8.4,5.0,Fase 1 (3° e 4° ano),-1,EE Joaquim Mendes Feliz,ALFA,7.96495,Ametista,ALFA Y - G0/G1,8.0,Feminino,2023.0,Pública,10.0,9.9,3.77,7.1875,6.6,7.0,6.2,0.0,7.845,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,ALFA,8.156578882,Topázio,ALFA C - G0/G1,7,Feminino,2024,Pública,10.0,8.8,2.5,7.5,8.0,8.0,8.0,0.0,8.9,10.0,ALFA (1° e 2° ano),0,Estuda em outra cidade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,ALFA,5.914801967,Quartzo,ALFA C - G0/G1,7,Masculino,2024,Pública,8.0,5.1,2.5,5.3,7.0,8.0,6.0,0.0,4.6,10.0,ALFA (1° e 2° ano),0,EM Etelvina Delfim Simões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,ALFA,7.619650311,Ametista,ALFA C - G0/G1,8,Feminino,2024,Pública,10.0,9.3,2.5,8.1,7.8,8.0,7.5,0.0,8.2,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,ALFA,7.920889959,Ametista,ALFA C - G0/G1,7,Feminino,2024,Pública,9.0,8.0,2.5,7.2,10.0,10.0,10.0,0.0,7.3,10.0,ALFA (1° e 2° ano),0,EM Etelvina Delfim Simões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,ALFA,7.217172222,Ametista,ALFA D - G2/G3,10,Feminino,2024,Pública,7.0,9.4,7.5,5.9,7.8,9.0,6.5,0.0,6.2,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,ALFA,8.4072,Topázio,ALFA D - G2/G3,9,Masculino,2024,Pública,10.0,10.0,7.5,7.5,8.8,10.0,7.5,0.0,8.3,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,ALFA,8.0792,Topázio,ALFA D - G2/G3,9,Masculino,2024,Pública,9.5,9.5,7.5,7.5,8.3,10.0,6.5,0.0,7.9,5.0,Fase 1 (3° e 4° ano),-1,EE Chácara Florida II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
